created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,id_analog,o3_analog,pm25_analog,pm10_analog,no2_analog,co_analog,pm2_5_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu,predicted_category,actual_category,segmen,lokasi
2026-06-10 01:12:00.817427+00:00,26.87,30.94,1299.66,0,19.63,32.0,65.6,8.0,0.0,227.0,225.0,4095.0,2598.0,68.45,36.52,18.32,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:53:49.092742+00:00,29.87,35.12,1253.41,0,19.63,34.9,53.8,49.0,0.0,221.0,223.0,4095.0,2465.0,67.12,36.05,15.57,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:29:21.085184+00:00,28.46,34.89,1173.54,0,19.63,34.8,56.7,25.0,0.0,214.0,204.0,4095.0,2403.0,65.58,31.64,14.46,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 02:05:02.330679+00:00,20.0,23.97,1228.07,0,19.63,34.9,50.5,60.0,0.0,174.0,176.0,4095.0,2438.0,56.74,25.13,15.08,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 02:00:57.210417+00:00,20.0,26.76,1343.03,0,19.63,35.1,51.9,56.0,0.0,200.0,187.0,4095.0,2471.0,62.48,27.69,15.69,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:39:33.023464+00:00,31.46,32.33,1174.93,0,19.63,34.8,55.0,35.0,0.0,219.0,214.0,4095.0,2407.0,66.68,33.96,14.53,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:32:24.840630+00:00,32.16,37.91,1086.58,0,19.63,34.7,56.4,28.0,0.0,214.0,215.0,4095.0,2448.0,65.58,34.19,15.26,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:05:54.483961+00:00,25.11,31.41,1690.72,0,19.63,30.5,72.9,,,,,,,,,,,,Sedang,,2,Ngagel
2026-06-10 01:33:26.142658+00:00,35.86,51.85,1089.14,0,19.63,34.8,55.9,29.0,0.0,238.0,231.0,4095.0,2350.0,70.88,37.91,13.58,0.0,8.18,Tidak Sehat,Sedang,2,Ngagel
2026-06-10 01:48:43.602063+00:00,27.58,31.87,1096.87,0,19.63,35.1,53.6,44.0,0.0,241.0,219.0,4095.0,2418.0,71.54,35.12,14.72,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:36:30.006624+00:00,38.68,36.75,1119.13,0,19.63,34.7,55.0,32.0,0.0,238.0,252.0,4095.0,2437.0,70.88,42.79,15.06,0.0,8.18,Tidak Sehat,Sedang,2,Ngagel
2026-06-10 01:42:36.407293+00:00,28.81,30.48,1226.59,0,19.63,34.8,54.2,38.0,0.0,202.0,215.0,4095.0,2475.0,62.93,34.19,15.76,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:50:45.585780+00:00,25.99,35.35,1145.96,0,19.63,34.9,53.8,46.0,0.0,221.0,220.0,4095.0,2410.0,67.12,35.35,14.58,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:47:42.289775+00:00,32.69,35.12,1177.74,0,19.63,34.9,54.6,43.0,0.0,219.0,223.0,4095.0,2475.0,66.68,36.05,15.76,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:37:30.891733+00:00,29.69,39.3,1170.74,0,19.63,34.9,55.0,33.0,0.0,275.0,226.0,4095.0,2375.0,79.05,36.75,13.99,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:54:50.653124+00:00,29.16,35.35,1137.83,0,19.63,35.1,53.4,50.0,0.0,225.0,219.0,4095.0,2470.0,68.01,35.12,15.67,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:30:22.433512+00:00,26.34,34.66,1095.58,0,19.63,35.0,57.5,26.0,0.0,217.0,218.0,4095.0,2415.0,66.24,34.89,14.67,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:24:15.072069+00:00,24.41,30.48,1174.93,0,19.63,34.5,56.7,20.0,0.0,196.0,224.0,4095.0,2445.0,61.6,36.28,15.2,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:22:12.953912+00:00,27.23,30.71,1121.78,0,19.63,34.3,58.6,18.0,0.0,216.0,209.0,4095.0,2407.0,66.02,32.8,14.53,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:58:55.608997+00:00,26.17,30.94,1190.45,0,19.63,35.0,51.7,54.0,0.0,197.0,181.0,4095.0,2449.0,61.82,26.29,15.28,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:07:55.837918+00:00,26.17,33.5,1608.44,0,19.63,30.9,71.8,4.0,0.0,218.0,208.0,4095.0,2671.0,66.46,32.57,20.08,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:51:46.705063+00:00,27.93,34.19,1225.12,0,19.63,35.1,53.7,47.0,0.0,203.0,220.0,4095.0,2395.0,63.15,35.35,14.32,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-09 23:40:22.227849+00:00,29.87,31.87,1371.22,0,19.63,30.9,88.8,1.0,0.0,215.0,197.0,4095.0,2640.0,,,,,,Sedang,,1,Ngagel
2026-06-10 01:06:54.030364+00:00,28.64,32.57,1606.4,0,19.63,30.6,72.3,3.0,0.0,198.0,203.0,4095.0,2711.0,62.04,31.41,21.13,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:14:03.474985+00:00,31.1,33.03,1199.01,0,19.63,32.5,63.2,10.0,0.0,197.0,200.0,4095.0,2547.0,61.82,30.71,17.2,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:27:18.782500+00:00,26.17,23.97,1113.84,0,19.63,34.9,56.5,23.0,0.0,201.0,215.0,4095.0,2352.0,62.71,34.19,13.61,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 02:04:01.032149+00:00,20.88,25.13,1206.2,0,19.63,35.1,51.0,59.0,0.0,202.0,194.0,4095.0,2451.0,62.93,29.31,15.31,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 06:35:15.515881+00:00,18.94,19.33,1548.55,0,19.63,35.3,52.8,114.0,0.0,162.0,174.0,4095.0,2791.0,54.09,24.67,23.46,0.0,8.18,Sedang,Sedang,3,Rungkut
